Name,Type,Level,Traits,Tradition,Deities,Bloodlines,Casting Time,Components,Range,Target,Area,Duration,Saving Throw,Spell Attack,Effect,Critical Success,Success,Failure,Critical Failure,Heightening,Heal,Damage,Counteract,Conditions,Source,Nethys Link
Deitys Strike,Spell,7,"Evocation,Force",divine,,,Two Actions,"somatic,verbal",500 feet,1 creature (see text),None,None,Reflex,FALSE,"A manifested version of your deitys favored weapon appears in the air above and attacks the target, using your spell attack roll. On a hit, the weapon deals 7d12 force damage, or double damage on a critical hit. After the attack, whether it succeeds or fails, divine energy bursts from the weapon in a shock wave. It emits in a 10-foot-wide, 30-foot-long line starting from the target and continuing in a direction you choose. Choose an alignment your deity has (chaotic, evil, good, or lawful). Your target and any other creatures within the area of the spell take 5d6 damage of the chosen alignment type, with a basic Reflex save. The spell gains the trait of the alignment you choose. If your deity is true neutral, the weapon doesnt create a shock wave.",None,None,None,None,Heightened (9th) The force damage increases by 1d12 and the alignment damage increases by 1d6,FALSE,TRUE,FALSE,,Secrets of Magic pg. 99,http://2e.aonprd.com/Spells.aspx?ID=892
Dimensional Lock,Spell,7,"Uncommon,Abjuration","arcane,divine,occult",,,Two Actions,"somatic,verbal",120 feet,None,60-foot burst,1 day,None,FALSE,"You create a shimmering barrier that attempts to counteract teleportation effects and planar travel into or out of the area, including items that allow access to extradimensional spaces (such as a bag of holding). Dimensional lock tries to counteract any attempt to summon a creature into the area but doesnt stop the creature from departing when the summoning ends.",None,None,None,None,,FALSE,FALSE,TRUE,,Core Rulebook pg. 329,http://2e.aonprd.com/Spells.aspx?ID=71
Divine Decree,Spell,7,Evocation,divine,,"angelic,demonic,diabolic",Two Actions,"somatic,verbal",40 feet,None,40-foot emanation,varies,Fortitude,FALSE,"You utter a potent litany from your faith, a mandate that harms those who oppose your ideals. Choose an alignment your deity has (chaotic, evil, good, or lawful). You cant cast this spell if you dont have a deity or your deity is true neutral. This spell gains the trait of the alignment you chose. You deal 7d10 damage to creatures in the area; each creature must attempt a Fortitude save. Creatures with an alignment that matches the one you chose are unaffected by the spell. Those that neither match nor oppose it treat the result of their saving throw as one degree better and dont suffer effects other than damage.",The creature is unaffected.,The creature takes half damage.,"The creature takes full damage and is <a style=""text-decoration:underline"" href=""Conditions.aspx?ID=13"">enfeebled 2</a> for 1 minute.","The creature takes double damage and is enfeebled 2 for 1 minute. On your home plane, a creature that critically fails is banished with the effect of a failed <a style=""text-decoration:underline"" href=""Spells.aspx?ID=19""><i>banishment</i></a> save. A 10th-level creature or lower must attempt a Will save. On a failure, its <a style=""text-decoration:underline"" href=""Conditions.aspx?ID=28"">paralyzed</a> for 1 minute; on a critical failure, it dies.","Heightened (+1) The damage increases by 1d10, and the level of creatures that must attempt a second save on a critical failure increases by 2",FALSE,TRUE,FALSE,,Core Rulebook pg. 331,http://2e.aonprd.com/Spells.aspx?ID=82
Divine Vessel,Spell,7,"Morph,Transmutation",divine,,,Two Actions,"somatic,verbal",None,None,None,1 minute,None,FALSE,"You accept otherworldly energies into your body; while you are still recognizably yourself, you gain the features of one of your deitys servitors. Choose an alignment your deity has (chaotic, evil, good, or lawful). You cant cast this spell if you dont have a deity or your deity is true neutral. This spell gains the trait of the alignment you chose. If you were Medium or smaller, you become Large, as the effects of enlarge. You must have space to expand into, or the spell is lost. You also gain the following benefits. 40 temporary Hit Points. A fly Speed equal to your Speed. Weakness 10 to the alignment opposite the one you chose. A +1 status bonus to saves against spells. Darkvision. Your unarmed attacks and weapons deal 1 additional damage of the chosen alignment type. One or more unarmed melee attacks. If you chose good or lawful, your fist attacks deal 2d8 damage. If you chose chaotic, you gain a bite unarmed attack that deals 2d10 piercing damage. If you chose evil, you gain a claws unarmed attack that deals 2d8 slashing damage and has the agile and finesse traits.",None,None,None,None,"Heightened (9th) The temporary Hit Points increase to 60, the weakness increases to 15, and the duration increases to 10 minutes",TRUE,TRUE,FALSE,,Core Rulebook pg. 331,http://2e.aonprd.com/Spells.aspx?ID=85
Duplicate Foe,Spell,7,Conjuration,"arcane,occult",Brigh,shadow,Three Actions,"material,somatic,verbal",30 feet,1 enemy of level 15 or lower,None,sustained up to 1 minute,Fortitude,FALSE,"You try to create a temporary duplicate of an enemy to fight on your behalf. The target can attempt a Fortitude save to disrupt the spell. The duplicate appears in an unoccupied space adjacent to the target and has the targets attack modifier, AC, saving throw modifiers, Perception, and skill modifiers, but it has only 70 Hit Points and lacks the targets special abilities, including immunities, resistances, and weaknesses. It has no magic items except weapon potency runes. The duplicate gains the minion trait, and it can only Stride and Strike. Its Strikes deal the targets normal damage but dont apply added effects, since it doesnt have special abilities. The spell automatically ends if the duplicates Hit Points drop to 0. The duplicate attacks your enemies to the best of its abilities. You can also try to give it additional instructions; when you Sustain the Spell, you can also Command a Minion as part of your action, but the GM determines whether the duplicate follows your command. The duplicate is unstable, so each turn after it takes its actions, it loses 4d6 Hit Points. Its not a living creature, and it can never regain its lost Hit Points in any way.",You fail to create a duplicate.,The duplicate deals half damage with its Strikes and the duration is reduced to a maximum of 2 rounds.,The duplicate works as described.,None,"Heightened (+1) The level of creature you can target increases by 2, The duplicate has 10 more HP",FALSE,TRUE,FALSE,,Core Rulebook pg. 334,http://2e.aonprd.com/Spells.aspx?ID=93
Eclipse Burst,Spell,7,"Cold,Darkness,Necromancy,Negative","arcane,divine,primal",,,Two Actions,"somatic,verbal",500 feet,None,60-foot burst,None,Reflex,FALSE,"A globe of freezing darkness explodes in the area, dealing 8d10 cold damage to creatures in the area, plus 8d4 additional negative damage to living creatures. Each creature in the area must attempt a Reflex save. If the globe overlaps with an area of magical light or affects a creature affected by magical light, eclipse burst attempts to counteract the light effect.",The creature is unaffected.,The creature takes half damage.,The creature takes full damage.,"The creature takes double damage and becomes <a style=""text-decoration:underline"" href=""Conditions.aspx?ID=1"">blinded</a> by the darkness for an unlimited duration.",Heightened (+1) The cold damage increases by 1d10 and the negative damage against the living increases by 1d4,FALSE,TRUE,TRUE,,Core Rulebook pg. 334,http://2e.aonprd.com/Spells.aspx?ID=96
Energy Aegis,Spell,7,Abjuration,"arcane,divine,occult,primal",,"elemental,genie",1 minute,"material,somatic,verbal",touch,1 creature,None,24 hours,None,FALSE,"You protect the target with a powerful, long-lasting energy barrier. The target gains resistance 5 to acid, cold, electricity, fire, force, negative, positive, and sonic damage.",None,None,None,None,Heightened (9th) The resistances increase to 10,FALSE,TRUE,FALSE,,Core Rulebook pg. 335,http://2e.aonprd.com/Spells.aspx?ID=100
Entrancing Eyes,Spell,7,"Uncommon,Enchantment,Mental,Visual",arcane,,,Two Actions,"somatic,verbal",None,None,30-foot emanation centered on you,sustained up to 1 minute,Will,FALSE,"Your eyes glow with an entrancing radiance that captivates those who meet your gaze. Any creature that ends its turn within the emanation must attempt a Will save.During any round you Sustain the Spell, you can use a single action, which has the manipulate trait, to focus your entrancing eyes on a single creature you can see within 30 feet. This creature must immediately make a Will save against the spell as if it were ending its turn in the emanation. If the creature was already fascinated by your entrancing eyes before its save, a failed save causes it to be paralyzed for 1 round. You can't use this action to focus on the same creature more than once per round.",The target is unaffected and becomes immune to this particular casting of the spell.,The target is unaffected.,"Until the end of its next turn, the target is <a style=""text-decoration:underline"" href=""Conditions.aspx?ID=37"">stupefied 2</a> and <a style=""text-decoration:underline"" href=""Conditions.aspx?ID=14"">fascinated</a>.","Until the end of its next turn, the target is stupefied 4, fascinated, and cant take reactions. In addition, all creatures and objects other than you are <a style=""text-decoration:underline"" href=""Conditions.aspx?ID=4"">concealed</a> from the target.",,FALSE,FALSE,FALSE,"Fascinated,Paralyzed",Pathfinder #154: Siege of the Dinosaurs pg. 74,http://2e.aonprd.com/Spells.aspx?ID=649
Ethereal Jaunt,Spell,7,"Uncommon,Conjuration,Teleportation","divine,occult",,,Two Actions,"somatic,verbal",None,None,None,sustained up to 1 minute,None,FALSE,"You travel to the Ethereal Plane, which overlaps the Material Plane. Material Plane creatures cant see you, and you can move through things on the Material Plane. You move at half your normal Speeds, but can move in any direction (including up and down). You can see onto the Material Plane within a radius of 60 feet; it is gray, hazy, and concealed from you. You cant affect the Material Plane, and you cant be affected by the Material Plane except by force effects and abjurations originating there. When the spell ends, you return to the Material Plane. If youre in the air, you fall (unless you can fly), and if youre inside an object, youre pushed into the nearest open space and take 1d6 damage per 5 feet you were pushed. If you cast this spell when not on the Material Plane, it is lost.",None,None,None,None,"Heightened (9th) You can target up to five additional willing creatures at a range of 30 feet, The duration is up to 10 minutes",FALSE,TRUE,FALSE,Concealed,Core Rulebook pg. 336,http://2e.aonprd.com/Spells.aspx?ID=105
Fiery Body,Spell,7,"Fire,Polymorph,Transmutation","arcane,primal","Lubaiko,Moloch,Touch of the Sun",,Two Actions,"somatic,verbal",None,None,None,1 minute,None,FALSE,"You become living flame, giving you fire immunity, resistance 10 to precision damage, and weakness 5 to cold and to water. Any creature that touches you or damages you with an unarmed attack or non-reach melee weapon takes 3d6 fire damage. Your unarmed attacks deal 1d4 additional fire damage, and your fire spells deal one additional die of fire damage (of the same damage die the spell uses). You can cast produce flame as an innate spell; the casting is reduced from 2 actions to 1. In fire form, you have a fly Speed of 40 feet and dont need to breathe.",None,None,None,None,"Heightened (9th) Creatures touching you take 4d6 fire damage instead of 3d6, your unarmed attacks deal 2d4 additional fire damage, and you have a fly Speed of 60 feet",FALSE,TRUE,FALSE,,Core Rulebook pg. 337,http://2e.aonprd.com/Spells.aspx?ID=115
Finger of Death,Spell,7,"Death,Necromancy","divine,primal",,"undead,psychopomp",Two Actions,"somatic,verbal",30 feet,1 living creature,None,None,basic Fortitude,FALSE,"You point your finger toward the target and speak a word of slaying. You deal 70 negative damage to the target. If the damage from finger of death reduces the target to 0 Hit Points, the target dies instantly.",None,None,None,None,Heightened (+1) The damage increases by 10,FALSE,TRUE,FALSE,,Core Rulebook pg. 338,http://2e.aonprd.com/Spells.aspx?ID=116
Force Cage,Spell,7,"Evocation,Force","arcane,occult",,,Three Actions,"material,somatic,verbal",30 feet,None,1 cube 20 feet on each side,sustained up to 1 minute,Reflex,FALSE,"You create an immobile, invisible prison of sheer force. The cage is a 20-foot cube made of bands of force, each a half inch thick and a half inch apart, that extend to the Ethereal Plane. Each creature in the area where you create the cage must attempt a Reflex save. If such a creature fails, it becomes trapped inside the cage. If it succeeds, its pushed outside the cage into a space of its choice. If a creature in the area is too big to fit inside the prison, the spell automatically fails. The cage has AC 10, Hardness 20, and 40 Hit Points, and its immune to critical hits and precision damage. A creature capable of passing through the space between the bars (typically a Tiny creature) can leave; all others are confined within. Attacks with a weapon too large to fit between the bars cant pass through the cage, and the bars provide standard cover even against attacks that can pass through the gaps. Spells and breath weapons can pass through the cage uninhibited. Force cage is immune to counteracting effects of its level or lower, but it is automatically destroyed by a disintegrate spell of any level, or by contact with a rod of cancellation or sphere of annihilation.",None,None,None,None,,FALSE,TRUE,TRUE,Invisible,Advanced Players Guide pg. 219,http://2e.aonprd.com/Spells.aspx?ID=690
Frigid Flurry,Spell,7,"Cold,Evocation,Water","arcane,primal",,,Two Actions,"somatic,verbal",None,None,line up to 120 feet,None,basic Reflex,FALSE,"You place a palm to your lips and exhale a cold breath, whipping up a gust of wind that freezes the airs ambient moisture into a flurry of jagged shards. The flurry deals 9d6 cold damage and 9d6 slashing damage to all foes, with a basic Reflex save, but the gust flows harmlessly around your allies. The wind then picks you up and carries you to the other end of the area; though your movement within the gust can still trigger reactions, the storm of ice crystals prevents you from being affected by any effects, except for those that would counteract the spells magic or that the GM decides would affect snow.",None,None,None,None,Heightened (+1) The cold and slashing damage each increase by 1d6,FALSE,TRUE,TRUE,,Secrets of Magic pg. 108,http://2e.aonprd.com/Spells.aspx?ID=916
Inexhaustible Cynicism,Spell,7,"Emotion,Enchantment,Mental","arcane,divine,occult",,,Two Actions,"somatic,verbal",30 feet,up to 5 creatures,None,None,Will,FALSE,"You inflict your targets with a crushing doubt about everyone and everything around them. For the duration, each target is unwilling to receive any effects that require a willing target (in case the effect was secretly an attack), refuse to ingest anything (in case the substances have been replaced with poisons and cursed duplicates), doesnt treat anyone as an ally (in case its friends were replaced by an impostor), and doesnt believe anything its told (in case of lies, though this doesnt mean the creature automatically believes the opposite either). It doesnt even fully trust its own ability to Recall Knowledge, as it becomes convinced it most likely remembered false information, as from a critical failure on a check to Recall Knowledge. Finally, the creature takes 6d6 mental damage at the end of each of its turns (with no save) unless it spent at least 1 action that turn Seeking or otherwise interacting with its surroundings in an attempt to disbelieve the illusions that it feels are obviously surrounding it.Critical Failure The creature is affected for 1 hour.",The creature is unaffected.,The creature is affected for 1 round.,The creature is affected for 1 minute.,None,,FALSE,TRUE,FALSE,,Secrets of Magic pg. 111,http://2e.aonprd.com/Spells.aspx?ID=931
Leng Sting,Spell,7,"Uncommon,Necromancy,Poison","arcane,occult",,,Two Actions,"somatic,verbal",touch,1 creature,None,None,Fortitude,FALSE,"You use the power of nightmares to magically replicate the venomous attack of the aberrant and cunning Leng spiders. You deal 2d6 piercing damage to the touched creature and afflict it with Leng spider venom. If the target takes piercing damage, they must attempt a Fortitude save. Leng Spider Venom (incapacitation, poison) Level 13; Maximum Duration 6 rounds; Stage 1 2d6 poison damage and drained 1 (1 round); Stage 2 3d6 poison damage and drained 2 (1 round); Stage 3 4d6 poison damage, drained 2, and confused (1 round)",The target is unaffected.,The target takes 2d6 poison damage.,The target is afflicted with Leng spider venom at stage 1.,The target is afflicted with Leng spider venom at stage 2.,,FALSE,TRUE,FALSE,"Drained,Confused",Pathfinder #160: Assault on Hunting Lodge Seven pg. 80,http://2e.aonprd.com/Spells.aspx?ID=827
Magnificent Mansion,Spell,7,"Uncommon,Conjuration,Extradimensional","arcane,occult","Abadar,Adanye,Findeladlara,Isis,Mammon",,1 minute,"material,somatic,verbal",30 feet,None,None,24 hours,None,FALSE,"You conjure an extradimensional demiplane consisting of a spacious dwelling with a single entrance. The entrance connects to the plane where you Cast the Spell, appearing anywhere within the spells range as a faint, shimmering, vertical rectangle 5 feet wide and 10 feet high. You designate who can enter when you cast the spell. Once inside, you can shut the entrance, making it invisible. You and the creatures you designated can reopen the door at will, just like opening a physical door. Inside, the demiplane appears to be a mansion featuring a magnificent foyer and numerous opulent chambers. The mansion can have any floor plan you imagine as you Cast the Spell, provided it fits within a space 40 feet wide, 40 feet deep, and 30 feet tall. While the entrance to the mansion is closed, effects from outside the mansion fail to penetrate it, and vice versa, except for plane shift, which can be used to enter the mansion. You can use scrying magic and similar effects to observe the outside only if theyre capable of crossing planes. A staff of up to 24 servants attends to anyone within the mansion. These are like the servant created by the unseen servant spell, though theyre visible, with an appearance you determine during casting. The mansion is stocked with enough food to serve a nine-course banquet to 150 people.",None,None,None,None,,FALSE,FALSE,FALSE,Invisible,Core Rulebook pg. 349,http://2e.aonprd.com/Spells.aspx?ID=183
Mask of Terror,Spell,7,"Emotion,Fear,Illusion,Mental,Visual","arcane,occult,primal","Jaidz,Urgathoa","draconic,wyrmblessed",Two Actions,"somatic,verbal",30 feet,1 creature,None,1 minute,Will,FALSE,"The target appears to be a gruesome and terrifying creature. The effect is unique to each observer, so a human viewing the target might see a demon with bloody fangs, but a demon observing the target might see a glowing angelic visage. When any creature attempts a hostile action against the target, the creature must attempt a Will save. It is then temporarily immune until the end of its next turn.",None,The creature is unaffected.,The creature becomes frightened 2 before using its action.,"The creature becomes frightened 2, and its action fails and is wasted.","Heightened (8th) You can target up to 5 creatures, If a creature uses a hostile action or reaction that affects multiple targets simultaneously, it needs to attempt only one save against mask of terror",FALSE,FALSE,FALSE,Hostile,Core Rulebook pg. 350,http://2e.aonprd.com/Spells.aspx?ID=185
Maze of Locked Doors,Spell,7,"Uncommon,Conjuration,Extradimensional,Incapacitation,Teleportation","arcane,occult",,,Two Actions,"somatic,verbal",120 feet,1 creature,None,sustained,Will,FALSE,"The target of your spell is drawn into a long, twisting, extradimensional hallway blocked at 30-foot intervals with high-grade darkwood doors (Hardness 20, HP 80, BT 40, Athletics DC 30 to Force Open) secured with average locks (DC 25 Thievery, 4 successful checks required). A creature trapped within this hallway can escape only when the spell expires, or when they successfully pass through the number of doors determined by their save, either by breaking through the doors or picking the locks (or any combination of these, if the target must pass through multiple doors to escape). Teleportation effects of 6th level or lower are automatically suppressed within the extradimensional hallway; higher-level teleportation effects require the caster to succeed at a counteract check against your spell DC or they fail.Critical Failure The target it trapped for 10 minutes, or until it bypasses 3 doors.",The target is unaffected.,"The target is trapped for 1 round, or until it bypasses 1 door.","The target is trapped for 1 minute, or until it bypasses 2 doors.",None,,FALSE,FALSE,TRUE,,Pathfinder #158: Sixty Feet Under pg. 77,http://2e.aonprd.com/Spells.aspx?ID=822
Plane Shift,Spell,7,"Uncommon,Conjuration,Teleportation","arcane,divine,occult,primal",,,10 minutes,"focus,material,somatic,verbal",touch,"1 willing creature, or up to 8 willing creatures joining hands",None,None,None,FALSE,"You and your allies traverse the barriers between planes of existence. The targets move to another plane, such as the Plane of Fire, the Shadow Plane, or the Abyss. You must have specific knowledge of the destination plane and use a magic tuning fork created from material from that plane as a focus for the spell. While the tuning forks for most prominent planes are uncommon, just like the spell plane shift, more obscure planes and demiplanes often have rare tuning forks. The spell is highly imprecise, and you appear 1d20x25 miles from the last place one of the targets (of your choice) was located the last time that target traveled to the plane. If its the first time traveling to a particular plane for all targets, you appear at a random location on the plane. Plane shift doesnt provide a means of return travel, though casting plane shift again allows you to return to your previous plane unless there are extenuating circumstances.",None,None,None,None,,FALSE,FALSE,FALSE,,Core Rulebook pg. 357,http://2e.aonprd.com/Spells.aspx?ID=222
Possession,Spell,7,"Uncommon,Incapacitation,Mental,Necromancy,Possession",occult,Fumeiyoshi,,Two Actions,"somatic,verbal",30 feet,1 living creature,None,1 minute,Will,FALSE,"You send your mind and soul into the targets body, attempting to take control. The target must attempt a Will save. You can choose to use the effects of a degree of success more favorable to the target if you prefer. While youre possessing a target, your own body is unconscious and cant wake up normally. You can sense everything the possessed target does. You can Dismiss this spell. If the possessed body dies, the spell ends and you must succeed at a Fortitude save against your spell DC or be paralyzed for 1 hour, or 24 hours on a critical failure. If the spell ends during an encounter, you act just before the possessed creatures initiative count.",The target is unaffected.,You possess the target but cant control it. You ride along in the body while the spell lasts.,"You possess the target and take partial control of it. You no longer have a separate turn; instead, you might control the target. At the start of each of the targets turns, it attempts another Will save. If it fails, its controlled by you on that turn; if it succeeds, it chooses its own actions; and if it critically succeeds, it forces you out and the spell ends.","You possess the target fully, and it can only watch as you manipulate it like a puppet. The target is controlled by you.","Heightened (9th) The duration is 10 minutes, and you can physically enter the creatures body, protecting your physical body while the spell lasts",FALSE,FALSE,FALSE,"Unconscious,Paralyzed",Core Rulebook pg. 358,http://2e.aonprd.com/Spells.aspx?ID=225
Power Word Blind,Spell,7,"Uncommon,Auditory,Enchantment,Mental",arcane,,,Single Action,verbal,30 feet,1 creature,None,varies,None,FALSE,"You utter an arcane word of power that can make the target blinded upon hearing it. Once targeted, the target is then temporarily immune for 10 minutes. The effect of the spell depends on the targets level. 11th or Lower The target is blinded permanently. 12th-13th The target is blinded for 1d4 minutes. 14th or Higher The target is dazzled for 1 minute.",None,None,None,None,Heightened (+1) The levels at which each outcome applies increase by 2,FALSE,FALSE,FALSE,"Blinded,Dazzled",Core Rulebook pg. 358,http://2e.aonprd.com/Spells.aspx?ID=226
Prismatic Armor,Spell,7,Abjuration,"arcane,occult",,,Two Actions,"somatic,verbal",touch,1 willing creature,None,1 minute,None,FALSE,"You wrap the target in armor made of multicolored light. It functions as chromatic armor that is all colors (granting resistance 5 to acid, electricity, fire, force, mental, poison, and sonic). An attacker that critically fails on its saving throw against the spell is blinded rather than dazzled.",None,None,None,None,Heightened (9th) The resistances increase to 10 each,FALSE,FALSE,FALSE,"Blinded,Dazzled",Secrets of Magic pg. 122,http://2e.aonprd.com/Spells.aspx?ID=973
Prismatic Spray,Spell,7,"Evocation,Light","arcane,occult",,imperial,Two Actions,"somatic,verbal",None,None,30-foot cone,None,None,FALSE,"A spray of rainbow light beams cascades from your open hand. Each creature in the area must roll 1d8 on the table below to see which beam affects it, then attempt a saving throw of the indicated type. The table notes any additional traits that apply to each type of ray. If a creature is struck by multiple beams, it uses the same d20 result for all its saving throws. For all rays, a successful saving throw negates the effect for that creature.Prismatic Spray 1d8ColorSaveEffects (Traits) 1RedReflex50 fire damage (fire) 2OrangeReflex60 acid damage (acid) 3YellowReflex70 electricity damage (electricity) 4GreenFortitude30 poison damage and enfeebled 1 for 1 minute (poison) 5BlueFortitudeAffected as if by flesh to stone 6IndigoWillConfused, as the warp mind spell (mental) 7VioletWillSlowed for 1 minute; if a critical failure, sent to another plane, as plane shift (teleportation) 8Potent beam-Affected by two beams - roll twice, rerolling any duplicates or results of 8",None,None,None,None,,FALSE,TRUE,FALSE,"Enfeebled,Confused,Slowed",Core Rulebook pg. 360,http://2e.aonprd.com/Spells.aspx?ID=233
Project Image,Spell,7,"Illusion,Mental","arcane,occult",Nyarlathotep (The Crawling Chaos),,Two Actions,"somatic,verbal",30 feet,None,None,sustained up to 1 minute,None,FALSE,"You project an illusory image of yourself. You must stay within range of the image, and if at any point you cant see the image, the spell ends. Whenever you Cast a Spell other than one whose area is an emanation, you can cause the spell effect to originate from either yourself or the image. Because the image is an illusion, it cant benefit from spells, though visual manifestations of the spell appear. The image has the same AC and saves as you. If it is hit by an attack or fails a save, the spell ends.",None,None,None,None,Heightened (+2) The maximum duration you can Sustain the Spell increases to 10 minutes,FALSE,FALSE,FALSE,,Core Rulebook pg. 360,http://2e.aonprd.com/Spells.aspx?ID=237
Regenerate,Spell,7,"Healing,Necromancy,Positive","divine,primal",,,Two Actions,"somatic,verbal",touch,1 willing living creature,None,1 minute,None,FALSE,"An infusion of positive energy grants a creature continuous healing. The target temporarily gains regeneration 15, which restores 15 Hit Points to it at the start of each of its turns. While it has regeneration, the target cant die from damage and its dying condition cant increase to a value that would kill it (this stops most creatures from going beyond dying 3), though if its wounded value becomes 4 or higher, it stays unconscious until its wounds are treated. If the target takes acid or fire damage, its regeneration deactivates until after the end of its next turn. Each time the creature regains Hit Points from regeneration, it also regrows one damaged or ruined organ (if any). During the spells duration, the creature can also reattach severed body parts by spending an Interact action to hold the body part to the area it was severed from.",None,None,None,None,Heightened (9th) The regeneration increases to 20,TRUE,TRUE,FALSE,"Dying,Unconscious,Wounded",Core Rulebook pg. 363,http://2e.aonprd.com/Spells.aspx?ID=248
Retrocognition,Spell,7,Divination,occult,"Dwarven Pantheon,Pillars of Knowledge,Zohls",,1 minute,"material,somatic,verbal",None,None,None,sustained,Will,FALSE,"Opening your mind to occult echoes, you gain impressions from past events that occurred in your current location. Retrocognition reveals psychic impressions from events that occurred over the course of the last day throughout the first minute of the duration, followed by impressions from the next day back the next minute, and so on. These echoes dont play out like a vision but instead reveal impressions of emotions and metaphors that provide cryptic clues and details of the past. If you witness a traumatic or turbulent event through an impression, the spell ends unless you succeed at a Will save with a DC of at least 30 and possibly as much as 50, depending on the severity of the event. The GM determines whether an event is traumatic and chooses the DC.",None,None,None,None,"Heightened (8th) You gain impressions of events that occurred over the previous year for each minute you concentrate, instead of the previous day, though the details diminish, making it harder to distinguish impressions from all but the most major events,Heightened (9th) You gain impressions of events that occurred over the previous century for each minute you concentrate, instead of the previous day, though the details diminish, making it almost impossible to distinguish impressions from all but the most major events",FALSE,FALSE,FALSE,,Core Rulebook pg. 365,http://2e.aonprd.com/Spells.aspx?ID=260
Reverse Gravity,Spell,7,"Uncommon,Evocation","arcane,occult",Otolmens,,Three Actions,"material,somatic,verbal",120 feet,None,"20-foot radius, 40-foot-tall cylinder",1 minute,None,FALSE,"You reverse gravity in the area. Creatures and objects that arent secured to the ground immediately fall upward to the top of the area. A creature might be able to Grab an Edge to arrest its fall if it falls past an appropriate surface. If a creature falls against a solid object (such as a ceiling), it takes the appropriate amount of falling damage and lands on the surface. Once an object or creature reaches the top of the area, it floats, caught between the normal and reversed gravity. The creature can move along the plane where the two forms of gravity meet. Creatures that can levitate or fly can use those abilities to mitigate the effects of reverse gravity.When reverse gravity ends, all creatures and objects caught in the area fall back down. Likewise, anything that moves beyond the spells area is subjected to normal gravity again.",None,None,None,None,,FALSE,TRUE,FALSE,,Core Rulebook pg. 365,http://2e.aonprd.com/Spells.aspx?ID=261
Shadow Raid,Spell,7,"Illusion,Shadow","arcane,occult",,,Three Actions,"material,somatic,verbal",120 feet,None,30-foot burst,1 minute,basic Reflex or Will (targets choice),FALSE,"You spin illusions of flying shadows throughout the area. The shadows strike and cavort, harming your foes and blocking their vision with twisting shadow. Enemies in the area when you Cast the Spell take 6d8 bludgeoning, piercing, or slashing damage, with a basic Reflex or Will save, as shadows explode into being. You choose the damage type when you Cast the Spell, and each creature chooses the type of save it attempts before it rolls the save. The shadows then persist in the area for 1 minute, dealing 3d8 damage of the type you chose to any enemy that ends its turn in the area. All creatures are concealed to enemies in the area, as the illusory shadows swarm over them and block light. A creature that spends an action to Seek or otherwise interact with the shadow raid can attempt a Perception check to disbelieve it. On a success, the creature halves the damage it takes from the shadows, and the shadows no longer impede its vision. These benefits last until the spell ends.",None,None,None,None,"Heightened (9th) The initial damage increases by 2d8, and the damage to a creature that ends its turn in the area increases by 1d8",FALSE,TRUE,FALSE,Concealed,Secrets of Magic pg. 129,http://2e.aonprd.com/Spells.aspx?ID=996
Spell Turning,Spell,7,"Uncommon,Abjuration",arcane,Abraxas,,Two Actions,"somatic,verbal",None,None,None,1 hour,None,FALSE,"This abjuration reflects spells cast at you back at their caster. When a spell targets you, you can spend a reaction to attempt to reflect it. This uses the rules for counteracting the spell, but if the spell is successfully counteracted, the effect is turned back on the caster. Whether or not the counteract attempt is successful, spell turning then ends. Spell turning cant affect spells that arent targeted (such as area spells). If spell turning reflects a spell back at a caster who is also under the effect of spell turning, their spell turning can attempt to reflect their own spell back at you again; if they do so, their counteract attempt automatically succeeds.",None,None,None,None,,FALSE,FALSE,TRUE,,Core Rulebook pg. 371,http://2e.aonprd.com/Spells.aspx?ID=297
Sunburst,Spell,7,"Evocation,Fire,Light,Positive","divine,primal",,,Two Actions,"somatic,verbal",500 feet,None,60-foot burst,None,Reflex,FALSE,"A powerful globe of searing sunlight explodes in the area, dealing 8d10 fire damage to all creatures in the area, plus 8d10 additional positive damage to undead creatures. Each creature in the area must attempt a Reflex save. If the globe overlaps with an area of magical darkness, sunburst attempts to counteract the darkness effect.",The creature is unaffected.,The creature takes half damage.,The creature takes full damage.,"The creature takes full damage and becomes <a style=""text-decoration:underline"" href=""Conditions.aspx?ID=1"">blinded</a> permanently.","Heightened (+1) The fire damage increases by 1d10, and the positive damage against undead increases by 1d10",FALSE,TRUE,TRUE,,Core Rulebook pg. 376,http://2e.aonprd.com/Spells.aspx?ID=326
Tempest of Shades,Spell,7,"Incarnate,Necromancy","arcane,divine,occult",,,Three Actions,"material,somatic,verbal",100 feet,None,None,until the end of your next turn,Fortitude,FALSE,"You channel the forces of undeath to briefly call forth an amalgam of the vengeful dead slain by your enemies and allies alike. This amalgam manifests as a large tornado of insubstantial, howling faces. It occupies the space of a Huge creature and has a Speed of 60 feet. Arrive (negative) Vortex of Death Each enemy creature within a 60-foot emanation must attempt a Fortitude save with the following effects. Depart (emotion, fear, mental) Howl of Eternity The vengeful dead lets out an anguished scream. All your enemies within a 100-foot emanation must attempt Will saves with the following effects..Success The creature is frightened 1.Failure The creature is frightened 3.Critical Failure The creature is frightened 3. Its also fleeing for 1 round or until its no longer frightened, whichever comes first.",The creature is unaffected,"The creature is <a style=""text-decoration:underline"" href=""Conditions.aspx?ID=10"">drained 1</a>.",The creature is drained 2.,The creature is drained 3.,,FALSE,FALSE,FALSE,Fleeing,Secrets of Magic pg. 135,http://2e.aonprd.com/Spells.aspx?ID=1015
